#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:32687633	(2020) Zonal regulation of collagen-type proteins and posttranslational modifications in prostatic benign and cancer tissues by imaging mass spectrometry.	6	27	2.6	2.63e-08	9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,COL4A5,COL2A1,COL8A2,P4HA2,P4HA3
PMID:6260150	(1980) A new prolyl hydroxylase acting on poly-L-proline, from suspension cultured cells of Vinca rosea.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:7404591	(1980) Inhibitory effect of cadmium on collagenous peptide synthesis of embryonic chick bone in tissue culture.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:228279	(1979) Beta-turns in nascent procollagen are sites of posttranslational enzymatic hydroxylation of proline.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:228620	(1979) Effect of guanethidine on collagen biosynthesis in blood vessels of hypertensive rats.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:232981	(1979) Effect of intravenously infused dexamethasone on collagen metabolism in skin of merino sheep.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:83988	(1979) The effect of bleomycin on prolyl hydroxylase and DNA chain breakage: structure-activity relationship.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:206896	(1978) Expression of collagen biosynthetic activities in lymphocytic cells.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:207337	(1978) Iron: a possible heterotropic effector of prolyl hydroxylase.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:209453	(1978) Prolyl hydroxylase half reaction: peptidyl prolyl-independent decarboxylation of alpha-ketoglutarate.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:191217	(1977) Prolyl hydroxylase activity in human normal skins and post-burn scars.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:199260	(1977) Different responses to some stimulators of prolyl hydroxylase activities in various rat organs.	3	4	3.13	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:200917	(1977) Homology between a prolyl hydroxylase subunit and a tissue protein that crossreacts immunologically with the enzyme.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:177068	(1976) Inhibition of hydroxyproline synthesis by palladium ions.	3	4	3.13	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:177069	(1976) [Research on subcellular localization of procollagen proline hydroxylase from chick embryo liver (authors transl)].	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:4370097	(1974) Increased collagen synthesis in blood vessels of hypertensive rats and its reversal by antihypertensive agents.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:34049151	(2021) Collagen modifying enzyme P4HA1 is overexpressed and plays a role in lung adenocarcinoma.	3	7	2.88	0.00053	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:25814993	(2015) Unity in diversity, a systems approach to regulating plant cell physiology by 2-oxoglutarate-dependent dioxygenases.	3	7	2.88	0.00053	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:23223450	(2013) Prolyl 4-hydroxlase activity is essential for development and cuticle formation in the human infective parasitic nematode Brugia malayi.	3	7	2.88	0.00053	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:21533127	(2011) Replication of TCF4 through association and linkage studies in late-onset Fuchs endothelial corneal dystrophy.	3	7	2.88	0.00053	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:19812768	(2008) Effects of feeding periods of high cholesterol and saturated fat diet on blood biochemistry and hydroxyproline fractions in rabbits.	3	7	2.88	0.00053	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:189835	(1977) Effect of diabetes and insulin on rat renal glomerular protocollagen hydroxylase activities.	3	7	2.88	0.00053	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:29044056	(2017) Association of polymorphisms in the intron of TCF4 gene to late-onset Fuchs endothelial corneal dystrophy: An Indian cohort study.	3	8	2.82	0.00070	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:27570528	(2016) In silico Identification and Taxonomic Distribution of Plant Class C GH9 Endoglucanases.	3	8	2.82	0.00070	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:27929065	(2016) Functional characterization of aconitase X as a cis-3-hydroxy-L-proline dehydratase.	3	8	2.82	0.00070	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:26451375	(2015) Fuchs Endothelial Corneal Dystrophy: Strong Association with rs613872 Not Paralleled by Changes in Corneal Endothelial TCF4 mRNA Level.	3	8	2.82	0.00070	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:26622166	(2015) Association of ZEB1 and TCF4 rs613872 changes with late onset Fuchs endothelial corneal dystrophy in patients from northern India.	3	8	2.82	0.00070	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:25408666	(2014) First identification of a triple corneal dystrophy association: keratoconus, epithelial basement membrane corneal dystrophy and fuchs endothelial corneal dystrophy.	3	8	2.82	0.00070	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
PMID:23185296	(2012) A common trinucleotide repeat expansion within the transcription factor 4 (TCF4, E2-2) gene predicts Fuchs corneal dystrophy.	3	8	2.82	0.00070	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:19997581	(2009) Phenotypic characterisation and ZEB1 mutational analysis in posterior polymorphous corneal dystrophy in a New Zealand population.	3	8	2.82	0.00070	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
PMID:6251523	(1980) Evidence for the presence of an endogenous inhibition of prolyl hydroxylase.	3	8	2.82	0.00070	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:31273259	(2019) Human Corneal Expression of SLC4A11, a Gene Mutated in Endothelial Corneal Dystrophies.	3	9	2.77	0.00087	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:21356090	(2011) Deep sequencing of the Camellia sinensis transcriptome revealed candidate genes for major metabolic pathways of tea-specific compounds.	3	9	2.77	0.00087	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:33444430	(2021) Disease Expression and Familial Transmission of Fuchs Endothelial Corneal Dystrophy With and Without CTG18.1 Expansion.	3	10	2.73	0.0011	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:33139660	(2020) An Overview of the Use of Equine Collagen as Emerging Material for Biomedical Applications.	3	10	2.73	0.0011	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:28886202	(2017) Fuchs Endothelial Corneal Dystrophy and RNA Foci in Patients With Myotonic Dystrophy.	3	10	2.73	0.0011	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:27484837	(2016) Mutations in the TMCO3 Gene are Associated with Cornea Guttata and Anterior Polar Cataract.	3	10	2.73	0.0011	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:24649405	(2014) Identification and characterization of trans-3-hydroxy-l-proline dehydratase and Delta(1)-pyrroline-2-carboxylate reductase involved in trans-3-hydroxy-l-proline metabolism of bacteria.	3	10	2.73	0.0011	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:20625449	(2010) Fuchs corneal dystrophy.	3	10	2.73	0.0011	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:3032969	(1987) A single polypeptide acts both as the beta subunit of prolyl 4-hydroxylase and as a protein disulfide-isomerase.	3	10	2.73	0.0011	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:3034602	(1987) Molecular cloning of the beta-subunit of human prolyl 4-hydroxylase. This subunit and protein disulphide isomerase are products of the same gene.	3	10	2.73	0.0011	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:30452903	(2019) Collagen Prolyl Hydroxylases Are Bifunctional Growth Regulators in Melanoma.	3	11	2.69	0.0013	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:24383403	(2014) Prolyl-4-hydroxylase alpha subunit 2 promotes breast cancer progression and metastasis by regulating collagen deposition.	3	11	2.69	0.0013	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:25299301	(2014) Association of common variants in TCF4 and PTPRG with Fuchs corneal dystrophy: a systematic review and meta-analysis.	3	11	2.69	0.0013	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:35239706	(2022) Identification of novel therapeutic targets for Fuchs endothelial corneal dystrophy based on gene bioinformatics analysis.	3	12	2.65	0.0016	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:35433237	(2022) miR-1266-3p Suppresses Epithelial-Mesenchymal Transition in Colon Cancer by Targeting P4HA3.	3	12	2.65	0.0016	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:34095157	(2021) Collagen Biosynthesis, Processing, and Maturation in Lung Ageing.	4	70	2.01	0.0016	9606.ENSP00000263556,9606.ENSP00000354960,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,COLGALT2,P4HA2,P4HA3
PMID:32199274	(2020) Targeting P4HA1 with a Small Molecule Inhibitor in a Colorectal Cancer PDX Model.	3	12	2.65	0.0016	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:32226497	(2020) P4HA2 contributes to cervical cancer progression via inducing epithelial-mesenchymal transition.	3	12	2.65	0.0016	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:30919021	(2019) Ascorbate inducible N259 glycans on prolyl 4-hydroxylase subunit alpha1 promote hydroxylation and secretion of type I collagen.	3	12	2.65	0.0016	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:31350381	(2019) Role of prolyl hydroxylation in the molecular interactions of collagens.	3	12	2.65	0.0016	9606.ENSP00000261405,9606.ENSP00000263556,9606.ENSP00000384999	VWF,P4HA1,P4HA2
PMID:29247885	(2018) Hypoxia Inducible Factors Modify Collagen I Fibers in MDA-MB-231 Triple Negative Breast Cancer Xenografts.	3	12	2.65	0.0016	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:26388025	(2015) Variation in DNA Base Excision Repair Genes in Fuchs Endothelial Corneal Dystrophy.	3	12	2.65	0.0016	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:33543004	(2019) Quantitative proteomic profiling of extracellular matrix and site-specific collagen post-translational modifications in an in vitro model of lung fibrosis.	4	73	1.99	0.0018	9606.ENSP00000263556,9606.ENSP00000369889,9606.ENSP00000380901,9606.ENSP00000384999	P4HA1,COL2A1,COL8A2,P4HA2
PMID:35150746	(2022) Recharacterization of the mammalian cytosolic type 2 (R)-beta-hydroxybutyrate dehydrogenase as 4-oxo-l-proline reductase (EC 1.1.1.104).	3	13	2.61	0.0019	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:32436609	(2020) HIF-1alpha interacts with Kindlin-2 and influences breast cancer elasticity: A study based on shear wave elastography imaging.	3	13	2.61	0.0019	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:28832669	(2017) TGC repeat expansion in the TCF4 gene increases the risk of Fuchs endothelial corneal dystrophy in Australian cases.	3	13	2.61	0.0019	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:22862831	(2012) Distribution and prediction of catalytic domains in 2-oxoglutarate dependent dioxygenases.	3	13	2.61	0.0019	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:33643603	(2021) Biomaterials for corneal endothelial cell culture and tissue engineering.	3	14	2.58	0.0022	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:28642546	(2017) SLC4A11 depletion impairs NRF2 mediated antioxidant signaling and increases reactive oxygen species in human corneal endothelial cells during oxidative stress.	3	14	2.58	0.0022	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:31534795	(2019) Clinical and Ultrastructural Studies of Gelatinous Drop-Like Corneal Dystrophy (GDLD) of a Patient with TACSTD2 Gene Mutation.	3	15	2.55	0.0026	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399	ZEB1,VSX1,SLC4A11
PMID:26937169	(2016) Fuchs endothelial corneal dystrophy: current perspectives.	3	15	2.55	0.0026	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:18253095	(2008) Genetic analysis of chromosome 20-related posterior polymorphous corneal dystrophy: genetic heterogeneity and exclusion of three candidate genes.	3	15	2.55	0.0026	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399	ZEB1,VSX1,SLC4A11
PMID:27639516	(2016) Biomechanical relationships between the corneal endothelium and Descemets membrane.	3	16	2.52	0.0031	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:23539444	(2013) Collagen prolyl hydroxylases are essential for breast cancer metastasis.	3	16	2.52	0.0031	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:30862717	(2019) Collagen Remodeling in the Hypoxic Tumor-Mesothelial Niche Promotes Ovarian Cancer Metastasis.	3	17	2.5	0.0036	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:31278071	(2019) Aspirin targets P4HA2 through inhibiting NF-kappaB and LMCD1-AS1let-7g to inhibit tumour growth and collagen deposition in hepatocellular carcinoma.	3	17	2.5	0.0036	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:24556689	(2014) Cell differentiation versus cell death: extracellular glucose is a key determinant of cell fate following oxidative stress exposure.	3	18	2.47	0.0041	9606.ENSP00000263556,9606.ENSP00000369889,9606.ENSP00000384999	P4HA1,COL2A1,P4HA2
PMID:25115393	(2014) The miR-124-prolyl hydroxylase P4HA1-MMP1 axis plays a critical role in prostate cancer progression.	3	18	2.47	0.0041	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:30814728	(2019) Breast cancer cells rely on environmental pyruvate to shape the metastatic niche.	3	19	2.45	0.0047	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:23759441	(2013) Lithium treatment increases endothelial cell survival and autophagy in a mouse model of Fuchs endothelial corneal dystrophy.	3	19	2.45	0.0047	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:23110055	(2012) Differing roles for TCF4 and COL8A2 in central corneal thickness and fuchs endothelial corneal dystrophy.	3	19	2.45	0.0047	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:35211545	(2022) Integrative Analysis of the lncRNA-Associated ceRNA Regulatory Network Response to Hypoxia in Alveolar Type II Epithelial Cells of Tibetan Pigs.	3	20	2.43	0.0053	9606.ENSP00000263556,9606.ENSP00000369889,9606.ENSP00000384999	P4HA1,COL2A1,P4HA2
PMID:34358958	(2021) Integrated mRNA and miRNA transcriptome analysis provides novel insights into the molecular mechanisms underlying goose pituitary development during the embryo-to-hatchling transition.	3	20	2.43	0.0053	9606.ENSP00000261405,9606.ENSP00000331902,9606.ENSP00000369889	VWF,COL4A5,COL2A1
PMID:28384203	(2017) Comprehensive characterization of DNA methylation changes in Fuchs endothelial corneal dystrophy.	3	20	2.43	0.0053	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:29594211	(2017) P4HA1: A single-gene surrogate of hypoxia signatures in oral squamous cell carcinoma patients.	3	20	2.43	0.0053	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:26337789	(2016) Transcriptomic Analysis of Cultured Corneal Endothelial Cells as a Validation for Their Use in Cell Replacement Therapy.	3	20	2.43	0.0053	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:27310661	(2016) Association of a Chromosomal Rearrangement Event with Mouse Posterior Polymorphous Corneal Dystrophy and Alterations in Csrp2bp, Dzank1, and Ovol2 Gene Expression.	3	20	2.43	0.0053	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
PMID:22955849	(2012) The collagen prolyl hydroxylases are novel transcriptionally silenced genes in lymphoma.	3	20	2.43	0.0053	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:29358170	(2018) 2-Hydroxyglutarate-Mediated Autophagy of the Endoplasmic Reticulum Leads to an Unusual Downregulation of Phospholipid Biosynthesis in Mutant IDH1 Gliomas.	3	21	2.41	0.0059	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:34426569	(2021) Deletion of Glut1 in early postnatal cartilage reprograms chondrocytes toward enhanced glutamine oxidation.	3	22	2.38	0.0066	9606.ENSP00000263556,9606.ENSP00000369889,9606.ENSP00000384999	P4HA1,COL2A1,P4HA2
PMID:35265665	(2021) Clinical Prognostic Value of the PLOD Gene Family in Lung Adenocarcinoma.	3	22	2.38	0.0066	9606.ENSP00000331902,9606.ENSP00000354960,9606.ENSP00000369889	COL4A5,COLGALT2,COL2A1
PMID:33304895	(2020) Novel Mutations in COL6A3 That Associated With Peters Anomaly Caused Abnormal Intracellular Protein Retention and Decreased Cellular Resistance to Oxidative Stress.	3	22	2.38	0.0066	9606.ENSP00000261405,9606.ENSP00000369399,9606.ENSP00000380901	VWF,SLC4A11,COL8A2
PMID:28358029	(2017) Genome-wide association study identifies three novel loci in Fuchs endothelial corneal dystrophy.	3	23	2.37	0.0074	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:33299876	(2020) Overexpression of P4HA1 Is Correlated with Poor Survival and Immune Infiltrates in Lung Adenocarcinoma.	3	24	2.35	0.0082	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:25618295	(2015) Synergistic effects of hypoxia and morphogenetic factors on early chondrogenic commitment of human embryonic stem cells in embryoid body culture.	3	24	2.35	0.0082	9606.ENSP00000263556,9606.ENSP00000369889,9606.ENSP00000384999	P4HA1,COL2A1,P4HA2
PMID:23585771	(2012) The genetics of Fuchs corneal dystrophy.	3	24	2.35	0.0082	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:30126833	(2018) A Novel Mutation in Brain Tumor Causes Both Neural Over-Proliferation and Neurodegeneration in Adult Drosophila.	3	25	2.33	0.0091	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:30245588	(2018) Overexpression of Tear Inflammatory Cytokines as Additional Finding in Keratoconus Patients and Their First Degree Family Members.	3	25	2.33	0.0091	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399	ZEB1,VSX1,SLC4A11
PMID:30367042	(2018) Collagen prolyl 4-hydroxylase 1 is essential for HIF-1alpha stabilization and TNBC chemoresistance.	3	25	2.33	0.0091	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:25311168	(2014) Transcript profile of cellular senescence-related genes in Fuchs endothelial corneal dystrophy.	3	25	2.33	0.0091	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:30630436	(2019) In vitro chondrogenic potency of surplus chondrocytes from autologous transplantation procedures does not predict short-term clinical outcomes.	3	26	2.31	0.0099	9606.ENSP00000263556,9606.ENSP00000369889,9606.ENSP00000384999	P4HA1,COL2A1,P4HA2
PMID:25548511	(2014) Loss of ion transporters and increased unfolded protein response in Fuchs dystrophy.	3	26	2.31	0.0099	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:32735996	(2021) TCF4-mediated Fuchs endothelial corneal dystrophy: Insights into a common trinucleotide repeat-associated disease.	3	29	2.26	0.0133	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:29966009	(2018) Gene expression in the corneal endothelium of Fuchs endothelial corneal dystrophy patients with and without expansion of a trinucleotide repeat in TCF4.	3	30	2.25	0.0146	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:33963260	(2021) Collagen fiber regulation in human pediatric aortic valve development and disease.	3	31	2.24	0.0159	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:32823625	(2020) Adeno-Associated Virus Mediated Gene Therapy for Corneal Diseases.	3	31	2.24	0.0159	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:32876527	(2020) The role of alpha-ketoglutarate and the hypoxia sensing pathway in the regulation of pancreatic beta-cell function.	3	31	2.24	0.0159	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:31390831	(2019) A Mutation in ZNF143 as a Novel Candidate Gene for Endothelial Corneal Dystrophy.	3	31	2.24	0.0159	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:29685994	(2018) Feeder-free differentiation of cells exhibiting characteristics of corneal endothelium from human induced pluripotent stem cells.	3	31	2.24	0.0159	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:26347862	(2015) Use of Mesothelial Cells and Biological Matrices for Tissue Engineering of Simple Epithelium Surrogates.	3	31	2.24	0.0159	9606.ENSP00000261405,9606.ENSP00000369399,9606.ENSP00000380901	VWF,SLC4A11,COL8A2
PMID:34394176	(2021) New Structural and Single Nucleotide Mutations in Type I and Type II Collagens in Taiwanese Children With Type I and Type II Collagenopathies.	3	32	2.22	0.0169	9606.ENSP00000261405,9606.ENSP00000263556,9606.ENSP00000369889	VWF,P4HA1,COL2A1
PMID:30245926	(2018) Exome sequencing study of 20 patients with high myopia.	3	33	2.21	0.0183	9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000384999	COL4A5,COL2A1,P4HA2
PMID:34130750	(2021) Genetic mutations and molecular mechanisms of Fuchs endothelial corneal dystrophy.	3	34	2.2	0.0198	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:32879808	(2020) Further evaluation of differential expression of keratoconus candidate genes in human corneas.	3	34	2.2	0.0198	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399	ZEB1,VSX1,SLC4A11
PMID:31263352	(2019) REVIEW: Current understanding of the pathogenesis of Fuchs endothelial corneal dystrophy.	3	34	2.2	0.0198	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:27366208	(2016) Matrix and cell phenotype differences in Dupuytrens disease.	3	34	2.2	0.0198	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:32887565	(2020) Whole exome sequencing highlights variants in association with Keratoconus in Jordanian families.	3	35	2.18	0.0211	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399	ZEB1,VSX1,SLC4A11
PMID:28654985	(2017) Transcriptomic Profiling of Posterior Polymorphous Corneal Dystrophy.	3	35	2.18	0.0211	9606.ENSP00000331902,9606.ENSP00000354487,9606.ENSP00000380901	COL4A5,ZEB1,COL8A2
PMID:33777815	(2021) Hypoxia in Breast Cancer-Scientific Translation to Therapeutic and Diagnostic Clinical Applications.	3	36	2.17	0.0226	9606.ENSP00000263556,9606.ENSP00000354487,9606.ENSP00000384999	P4HA1,ZEB1,P4HA2
PMID:32922514	(2020) Intestinal stenosis in Crohns disease shows a generalized upregulation of genes involved in collagen metabolism and recognition that could serve as novel anti-fibrotic drug targets.	3	37	2.16	0.0243	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:32273949	(2020) Potential Protective and Therapeutic Roles of the Nrf2 Pathway in Ocular Diseases: An Update.	3	38	2.15	0.0261	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
