#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:22174787	(2011) Genome characterization of the oleaginous fungus Mortierella alpina.	10	87	2.31	2.45e-16	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,ACLY,PCK1,PKM,MDH2,PKLR,CS,ME1,PC,MDH1
PMID:26999781	(2016) Malic enzyme tracers reveal hypoxia-induced switch in adipocyte NADPH pathway usage.	3	20	2.43	0.0019	9606.ENSP00000253792,9606.ENSP00000377532,9606.ENSP00000438144	ACLY,PC,MDH1
PMID:25889939	(2015) Evolutionary history of Leishmania killicki (synonymous Leishmania tropica) and taxonomic implications.	3	20	2.43	0.0019	9606.ENSP00000327070,9606.ENSP00000358719,9606.ENSP00000438144	MDH2,ME1,MDH1
PMID:26877834	(2015) Mitochondria in Cancer Energy Metabolism: Culprits or Bystanders?	3	20	2.43	0.0019	9606.ENSP00000320171,9606.ENSP00000358719,9606.ENSP00000377532	PKM,ME1,PC
PMID:25153319	(2014) Betaine supplementation in maternal diet modulates the epigenetic regulation of hepatic gluconeogenic genes in neonatal piglets.	3	20	2.43	0.0019	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000377532	PCK2,PCK1,PC
PMID:23409765	(2013) Impact of quaternary structure dynamics on allosteric drug discovery.	3	20	2.43	0.0019	9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000358719	PKM,PKLR,ME1
PMID:22749020	(2012) Metabolic regulation by SIRT3: implications for tumorigenesis.	3	20	2.43	0.0019	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000342056	ACLY,PKM,CS
PMID:31847543	(2020) 2-Hydroxyglutarate in Cancer Cells.	4	102	1.84	0.0020	9606.ENSP00000253792,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000438144	ACLY,MDH2,CS,MDH1
PMID:35205619	(2022) Over-Reduced State of Mitochondria as a Trigger of beta-Oxidation Shuttle in Cancer Cells.	3	21	2.41	0.0021	9606.ENSP00000253792,9606.ENSP00000327070,9606.ENSP00000438144	ACLY,MDH2,MDH1
PMID:35222791	(2022) Pterostilbene Promotes Mean Lifespan in Both Male and Female Drosophila Melanogaster Modulating Different Proteins in the Two Sexes.	3	21	2.41	0.0021	9606.ENSP00000327070,9606.ENSP00000377532,9606.ENSP00000438144	MDH2,PC,MDH1
PMID:31963621	(2020) Loss of Rb1 Enhances Glycolytic Metabolism in Kras-Driven Lung Tumors In Vivo.	3	21	2.41	0.0021	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000377532	PKM,MDH2,PC
PMID:32517485	(2020) Mitochondrial Superoxide Production Decreases on Glucose-Stimulated Insulin Secretion in Pancreatic beta Cells Due to Decreasing Mitochondrial Matrix NADHNAD(+) Ratio.	3	21	2.41	0.0021	9606.ENSP00000253792,9606.ENSP00000342056,9606.ENSP00000377532	ACLY,CS,PC
PMID:31140761	(2019) Small-molecule-mediated chemical knock-down of MuRF1MuRF2 and attenuation of diaphragm dysfunction in chronic heart failure.	3	21	2.41	0.0021	9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000342056	PKM,PKLR,CS
PMID:29476602	(2018) An Extract of Russian Tarragon Prevents Obesity-Related Ectopic Lipid Accumulation.	3	21	2.41	0.0021	9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000438144	MDH2,CS,MDH1
PMID:28393905	(2017) Metabolomic characterisation of the effects of oncogenic PIK3CA transformation in a breast epithelial cell line.	3	21	2.41	0.0021	9606.ENSP00000253792,9606.ENSP00000342056,9606.ENSP00000377532	ACLY,CS,PC
PMID:25196249	(2015) Identification and profiling of Manduca sexta microRNAs and their possible roles in regulating specific transcripts in fat body, hemocytes, and midgut.	3	21	2.41	0.0021	9606.ENSP00000253792,9606.ENSP00000342056,9606.ENSP00000438144	ACLY,CS,MDH1
PMID:25450479	(2015) Sulforaphane, a cancer chemopreventive agent, induces pathways associated with membrane biosynthesis in response to tissue damage by aflatoxin B1.	3	21	2.41	0.0021	9606.ENSP00000253792,9606.ENSP00000327070,9606.ENSP00000339933	ACLY,MDH2,PKLR
PMID:25672227	(2015) The metabolic responses to hepatitis B virus infection shed new light on pathogenesis and targets for treatment.	3	21	2.41	0.0021	9606.ENSP00000253792,9606.ENSP00000327070,9606.ENSP00000342056	ACLY,MDH2,CS
PMID:26435905	(2015) Activation of oxidative carbon metabolism by nutritional enrichment by photosynthesis and exogenous organic compounds in the red alga Cyanidioschyzon merolae: evidence for heterotrophic growth.	3	21	2.41	0.0021	9606.ENSP00000216780,9606.ENSP00000342056,9606.ENSP00000438144	PCK2,CS,MDH1
PMID:24123565	(2014) HIF1alpha modulates cell fate reprogramming through early glycolytic shift and upregulation of PDK1-3 and PKM2.	3	21	2.41	0.0021	9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933	PCK1,PKM,PKLR
PMID:32942044	(2021) Liver Pyruvate Kinase Promotes NAFLDNASH in Both Mice and Humans in a Sex-Specific Manner.	3	22	2.38	0.0023	9606.ENSP00000253792,9606.ENSP00000339933,9606.ENSP00000377532	ACLY,PKLR,PC
PMID:34631530	(2021) Mechanisms Governing Metabolic Heterogeneity in Breast Cancer and Other Tumors.	4	107	1.82	0.0023	9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933	ACLY,PCK1,PKM,PKLR
PMID:29502393	(2018) Hepatic transcriptional changes in critical genes for gluconeogenesis following castration of bulls.	3	22	2.38	0.0023	9606.ENSP00000216780,9606.ENSP00000339933,9606.ENSP00000377532	PCK2,PKLR,PC
PMID:30416487	(2018) Aglycemic HepG2 Cells Switch From Aminotransferase Glutaminolytic Pathway of Pyruvate Utilization to Complete Krebs Cycle at Hypoxia.	3	22	2.38	0.0023	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000342056	ACLY,PKM,CS
PMID:28397687	(2017) A metabolic switch controls intestinal differentiation downstream of Adenomatous polyposis coli (APC).	3	22	2.38	0.0023	9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000342056	PKM,PKLR,CS
PMID:25224845	(2015) Investigational cancer drugs targeting cell metabolism in clinical development.	3	22	2.38	0.0023	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000339933	ACLY,PKM,PKLR
PMID:26399295	(2015) Proteome-wide quantitative multiplexed profiling of protein expression: carbon-source dependency in Saccharomyces cerevisiae.	3	22	2.38	0.0023	9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000438144	MDH2,CS,MDH1
PMID:25372880	(2014) Cellular responses associated with ROS production and cell fate decision in early stress response to iron limitation in the diatom Thalassiosira pseudonana.	3	22	2.38	0.0023	9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000438144	MDH2,CS,MDH1
PMID:23726154	(2013) Metabolic flux rewiring in mammalian cell cultures.	3	22	2.38	0.0023	9606.ENSP00000253792,9606.ENSP00000342056,9606.ENSP00000377532	ACLY,CS,PC
PMID:23878588	(2013) Obesity, cancer, and acetyl-CoA metabolism.	3	22	2.38	0.0023	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000320171	PCK2,ACLY,PKM
PMID:24215330	(2013) Targeted exome sequencing for mitochondrial disorders reveals high genetic heterogeneity.	3	22	2.38	0.0023	9606.ENSP00000216780,9606.ENSP00000377532,9606.ENSP00000382071	PCK2,PC,HLCS
PMID:22439925	(2012) Metabolic reprogramming: a cancer hallmark even warburg did not anticipate.	3	22	2.38	0.0023	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000342056	ACLY,PKM,CS
PMID:20160030	(2010) An RNA interference screen identifies metabolic regulators NR1D1 and PBP as novel survival factors for breast cancer cells with the ERBB2 signature.	3	22	2.38	0.0023	9606.ENSP00000253792,9606.ENSP00000358719,9606.ENSP00000438144	ACLY,ME1,MDH1
PMID:20161383	(2009) Genomic approaches in the identification of hypoxia biomarkers in model fish species.	3	22	2.38	0.0023	9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000438144	MDH2,CS,MDH1
PMID:19076444	(2008) Oxidant-induced changes in mitochondria and calcium dynamics in the pathophysiology of Alzheimers disease.	3	22	2.38	0.0023	9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000438144	MDH2,CS,MDH1
PMID:33925229	(2021) Skeletal Muscle Proteomic Profile Revealed Gender-Related Metabolic Responses in a Diet-Induced Obesity Animal Model.	4	109	1.81	0.0025	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000438144	PKM,MDH2,CS,MDH1
PMID:34695608	(2021) Exercise prevents fatty liver by modifying the compensatory response of mitochondrial metabolism to excess substrate availability.	3	23	2.37	0.0025	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000377532	ACLY,PKM,PC
PMID:34970539	(2021) A Novel Function of Mitochondrial Phosphoenolpyruvate Carboxykinase as a Regulator of Inflammatory Response in Kupffer Cells.	3	23	2.37	0.0025	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171	PCK2,PCK1,PKM
PMID:32545833	(2020) The Impact of Acetyl-CoA and Aspartate Shortages on the N-Acetylaspartate Level in Different Models of Cholinergic Neurons.	3	23	2.37	0.0025	9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000438144	MDH2,CS,MDH1
PMID:30686754	(2019) Loss of SLC25A11 causes suppression of NSCLC and melanoma tumor formation.	3	23	2.37	0.0025	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000438144	PKM,MDH2,MDH1
PMID:30837482	(2019) Succinyl-proteome profiling of Pyricularia oryzae, a devastating phytopathogenic fungus that causes rice blast disease.	3	23	2.37	0.0025	9606.ENSP00000253792,9606.ENSP00000327070,9606.ENSP00000342056	ACLY,MDH2,CS
PMID:30244975	(2018) Integrated Pharmacodynamic Analysis Identifies Two Metabolic Adaption Pathways to Metformin in Breast Cancer.	3	23	2.37	0.0025	9606.ENSP00000253792,9606.ENSP00000327070,9606.ENSP00000438144	ACLY,MDH2,MDH1
PMID:30483148	(2018) Regulation by Dietary Carbohydrates of Intermediary Metabolism in Liver and Muscle of Two Isogenic Lines of Rainbow Trout.	3	23	2.37	0.0025	9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000342056	ACLY,PCK1,CS
PMID:28240261	(2017) Nur77 suppresses hepatocellular carcinoma via switching glucose metabolism toward gluconeogenesis through attenuating phosphoenolpyruvate carboxykinase sumoylation.	3	23	2.37	0.0025	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171	PCK2,PCK1,PKM
PMID:28559925	(2017) Integrated analysis of 454 and Illumina transcriptomic sequencing characterizes carbon flux and energy source for fatty acid synthesis in developing Lindera glauca fruits for woody biodiesel.	3	23	2.37	0.0025	9606.ENSP00000253792,9606.ENSP00000342056,9606.ENSP00000358719	ACLY,CS,ME1
PMID:29262588	(2017) Mitochondrial phosphoenolpyruvate carboxykinase (PEPCK-M) regulates the cell metabolism of pancreatic neuroendocrine tumors (pNET) and de-sensitizes pNET to mTOR inhibitors.	3	23	2.37	0.0025	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000377532	PCK2,PCK1,PC
PMID:25774832	(2015) Metabolic pathways promoting cancer cell survival and growth.	3	23	2.37	0.0025	9606.ENSP00000342056,9606.ENSP00000377532,9606.ENSP00000438144	CS,PC,MDH1
PMID:22303341	(2011) Differential effects of krill oil and fish oil on the hepatic transcriptome in mice.	3	23	2.37	0.0025	9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000339933	ACLY,PCK1,PKLR
PMID:32024856	(2020) Integrative network modeling reveals mechanisms underlying T cell exhaustion.	4	111	1.81	0.0026	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070	PCK2,PCK1,PKM,MDH2
PMID:32249812	(2020) Network-based metabolic characterization of renal cell carcinoma.	4	111	1.81	0.0026	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000327070,9606.ENSP00000358719	PCK2,PCK1,MDH2,ME1
PMID:21410942	(2011) Genome-wide analysis of primary CD4+ and CD8+ T cell transcriptomes shows evidence for a network of enriched pathways associated with HIV disease.	4	111	1.81	0.0026	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000327070,9606.ENSP00000438144	PCK2,ACLY,MDH2,MDH1
PMID:35413642	(2022) Mfn2-mediated mitochondrial fusion alleviates doxorubicin-induced cardiotoxicity with enhancing its anticancer activity through metabolic switch.	3	24	2.35	0.0028	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000342056	PKM,MDH2,CS
PMID:33804693	(2021) Copper Toxicity Is Not Just Oxidative Damage: Zinc Systems and Insight from Wilson Disease.	3	24	2.35	0.0028	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000377532	PCK2,PCK1,PC
PMID:32184362	(2020) In Vivo Thermodynamic Analysis of Glycolysis in Clostridium thermocellum and Thermoanaerobacterium saccharolyticum Using (13)C and (2)H Tracers.	3	24	2.35	0.0028	9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000377532	MDH2,CS,PC
PMID:32934948	(2020) Factors Influencing Mitochondrial Function as a Key Mediator of Glucose-Induced Insulin Release: Highlighting Nicotinamide Nucleotide Transhydrogenase.	3	24	2.35	0.0028	9606.ENSP00000253792,9606.ENSP00000342056,9606.ENSP00000377532	ACLY,CS,PC
PMID:28187287	(2017) Understanding the Intersections between Metabolism and Cancer Biology.	3	24	2.35	0.0028	9606.ENSP00000320171,9606.ENSP00000358719,9606.ENSP00000377532	PKM,ME1,PC
PMID:28642579	(2017) Regulation of glycolysis in brown adipocytes by HIF-1alpha.	3	24	2.35	0.0028	9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000342056	PKM,PKLR,CS
PMID:29243276	(2017) The influence of Shc proteins and high-fat diet on energy metabolism of mice.	3	24	2.35	0.0028	9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000342056	PKM,PKLR,CS
PMID:29270192	(2017) Adaptive Evolution of Energy Metabolism-Related Genes in Hypoxia-Tolerant Mammals.	3	24	2.35	0.0028	9606.ENSP00000319814,9606.ENSP00000339933,9606.ENSP00000377532	PCK1,PKLR,PC
PMID:27350173	(2016) Mitochondrial phosphoenolpyruvate carboxykinase (PEPCK-M) and serine biosynthetic pathway genes are co-ordinately increased during anabolic agent-induced skeletal muscle growth.	3	24	2.35	0.0028	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171	PCK2,PCK1,PKM
PMID:34211032	(2021) A pan-cancer transcriptomic study showing tumor specific alterations in central metabolism.	4	115	1.79	0.0030	9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000377532	ACLY,PCK1,PKM,PC
PMID:34947512	(2021) Camptothecin Encapsulated in beta-Cyclodextrin-EDTA-Fe3O4 Nanoparticles Induce Metabolic Reprogramming Repair in HT29 Cancer Cells through Epigenetic Modulation: A Bioinformatics Approach.	3	25	2.33	0.0031	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000327070	ACLY,PKM,MDH2
PMID:31810980	(2020) Inflammation-Induced Alternative Pre-mRNA Splicing in Mouse Alveolar Macrophages.	3	25	2.33	0.0031	9606.ENSP00000253792,9606.ENSP00000327070,9606.ENSP00000342056	ACLY,MDH2,CS
PMID:32891058	(2020) Kinetic Trans-omic Analysis Reveals Key Regulatory Mechanisms for Insulin-Regulated Glucose Metabolism in Adipocytes.	3	25	2.33	0.0031	9606.ENSP00000253792,9606.ENSP00000358719,9606.ENSP00000377532	ACLY,ME1,PC
PMID:30644754	(2019) Quantifying Competition among Mitochondrial Protein Acylation Events Induced by Ethanol Metabolism.	3	25	2.33	0.0031	9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000377532	MDH2,CS,PC
PMID:31744143	(2019) Pyruvate Dehydrogenase and Tricarboxylic Acid Cycle Enzymes Are Sensitive Targets of Traumatic Brain Injury Induced Metabolic Derangement.	3	25	2.33	0.0031	9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000438144	MDH2,CS,MDH1
PMID:31817761	(2019) Rescue of TCA Cycle Dysfunction for Cancer Therapy.	3	25	2.33	0.0031	9606.ENSP00000327070,9606.ENSP00000377532,9606.ENSP00000438144	MDH2,PC,MDH1
PMID:30193097	(2018) Dynamic Acetylation of Phosphoenolpyruvate Carboxykinase Toggles Enzyme Activity between Gluconeogenic and Anaplerotic Reactions.	3	25	2.33	0.0031	9606.ENSP00000216780,9606.ENSP00000327070,9606.ENSP00000377532	PCK2,MDH2,PC
PMID:27243218	(2016) Immunometabolic Status during the Peripartum Period Is Enhanced with Supplemental Zn, Mn, and Cu from Amino Acid Complexes and Co from Co Glucoheptonate.	3	25	2.33	0.0031	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000377532	PCK2,PCK1,PC
PMID:24086712	(2013) Integrated proteomic and metabolic analysis of breast cancer progression.	3	25	2.33	0.0031	9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000377532	MDH2,CS,PC
PMID:34778303	(2021) Tubular Cell Glucose Metabolism Shift During Acute and Chronic Injuries.	3	26	2.31	0.0034	9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000377532	PCK1,PKM,PC
PMID:32656187	(2020) Induction of in vitro Metabolic Zonation in Primary Hepatocytes Requires Both Near-Physiological Oxygen Concentration and Flux.	3	26	2.31	0.0034	9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933	PCK1,PKM,PKLR
PMID:30739869	(2019) Resolving the Paradox of Hepatic Insulin Resistance.	3	26	2.31	0.0034	9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000377532	ACLY,PCK1,PC
PMID:30574094	(2018) Impact of Dietary CarbohydrateProtein Ratio on Hepatic Metabolism in Land-Locked Atlantic Salmon (Salmo salar L.).	3	26	2.31	0.0034	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000342056	PCK2,ACLY,CS
PMID:28918066	(2017) Enzymatic testing sensitivity, variability and practical diagnostic algorithm for pyruvate dehydrogenase complex (PDC) deficiency.	3	26	2.31	0.0034	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000342056	PCK2,PCK1,CS
PMID:29805774	(2018) p53 and metabolism: from mechanism to therapeutics.	4	121	1.77	0.0035	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000358719	ACLY,PKM,MDH2,ME1
PMID:26558285	(2015) CMP-Neu5Ac Hydroxylase Null Mice as a Model for Studying Metabolic Disorders Caused by the Evolutionary Loss of Neu5Gc in Humans.	4	122	1.77	0.0036	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000339933,9606.ENSP00000342056	PCK2,ACLY,PKLR,CS
PMID:32982112	(2020) Arachidyl amido cholanoic acid improves liver glucose and lipid homeostasis in nonalcoholic steatohepatitis via AMPK and mTOR regulation.	3	27	2.3	0.0037	9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000377532	MDH2,CS,PC
PMID:34766124	(2020) The biological role of metabolic reprogramming in pancreatic cancer.	3	27	2.3	0.0037	9606.ENSP00000253792,9606.ENSP00000358719,9606.ENSP00000438144	ACLY,ME1,MDH1
PMID:30300667	(2018) Identification of key pathways and metabolic fingerprints of longevity in C. elegans.	3	27	2.3	0.0037	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000327070	PCK2,ACLY,MDH2
PMID:19303850	(2009) Protein acetylation microarray reveals that NuA4 controls key metabolic target regulating gluconeogenesis.	3	27	2.3	0.0037	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000377532	PCK2,PCK1,PC
PMID:33922238	(2021) Biomarkers in Glycogen Storage Diseases: An Update.	4	126	1.75	0.0040	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000358719	PCK2,ACLY,PCK1,ME1
PMID:33931119	(2021) Pyruvate carboxylase and cancer progression.	3	28	2.28	0.0040	9606.ENSP00000253792,9606.ENSP00000358719,9606.ENSP00000377532	ACLY,ME1,PC
PMID:34285335	(2021) Loss of Acot12 contributes to NAFLD independent of lipolysis of adipose tissue.	3	28	2.28	0.0040	9606.ENSP00000253792,9606.ENSP00000342056,9606.ENSP00000377532	ACLY,CS,PC
PMID:34616519	(2021) Characterization of metabolic landscape in hepatocellular carcinoma.	3	28	2.28	0.0040	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000339933	ACLY,PKM,PKLR
PMID:32236130	(2020) Transcriptome analysis reveals gender-specific differences in overall metabolic response of male and female patients in lung adenocarcinoma.	3	28	2.28	0.0040	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000320171	PCK2,ACLY,PKM
PMID:31251830	(2019) Ghrelin receptor in agouti-related peptide neurones regulates metabolic adaptation to calorie restriction.	3	28	2.28	0.0040	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171	PCK2,PCK1,PKM
PMID:28887564	(2017) Inhibition of Y1 receptor signaling improves islet transplant outcome.	3	28	2.28	0.0040	9606.ENSP00000253792,9606.ENSP00000327070,9606.ENSP00000377532	ACLY,MDH2,PC
PMID:28947796	(2017) Increased liver AGEs induce hepatic injury mediated through an OST48 pathway.	3	28	2.28	0.0040	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000377532	PCK2,PCK1,PC
PMID:27764698	(2016) Metabolic Alterations Caused by KRAS Mutations in Colorectal Cancer Contribute to Cell Adaptation to Glutamine Depletion by Upregulation of Asparagine Synthetase.	3	28	2.28	0.0040	9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000438144	CS,ME1,MDH1
PMID:27777765	(2016) Epithelial-mesenchymal transition induction is associated with augmented glucose uptake and lactate production in pancreatic ductal adenocarcinoma.	3	28	2.28	0.0040	9606.ENSP00000320171,9606.ENSP00000358719,9606.ENSP00000377532	PKM,ME1,PC
PMID:26251593	(2015) Characterization of pulmonary protein profiles in response to zinc oxide nanoparticles in mice: a 24-hour and 28-day follow-up study.	3	28	2.28	0.0040	9606.ENSP00000253792,9606.ENSP00000327070,9606.ENSP00000342056	ACLY,MDH2,CS
PMID:24863970	(2014) Three rare diseases in one Sib pair: RAI1, PCK1, GRIN2B mutations associated with Smith-Magenis Syndrome, cytosolic PEPCK deficiency and NMDA receptor glutamate insensitivity.	3	28	2.28	0.0040	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000377532	PCK2,PCK1,PC
PMID:21649891	(2011) The metabolic advantage of tumor cells.	3	28	2.28	0.0040	9606.ENSP00000253792,9606.ENSP00000377532,9606.ENSP00000438144	ACLY,PC,MDH1
PMID:31906278	(2020) Antidiabetic Properties of Curcumin I: Evidence from In Vitro Studies.	4	127	1.75	0.0041	9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000377532	MDH2,CS,ME1,PC
PMID:33824863	(2021) Development and Validation of a Metabolic Gene-Based Prognostic Signature for Hepatocellular Carcinoma.	3	29	2.26	0.0044	9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171	ACLY,PCK1,PKM
PMID:34526589	(2021) Porphyromonas gingivalis induces entero-hepatic metabolic derangements with alteration of gut microbiota in a type 2 diabetes mouse model.	3	29	2.26	0.0044	9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000377532	ACLY,PCK1,PC
PMID:32089303	(2020) Effects of colostrum instead of formula feeding for the first 2 days postnatum on whole-body energy metabolism and its endocrine control in neonatal calves.	3	29	2.26	0.0044	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000377532	PCK2,PCK1,PC
PMID:29258832	(2018) Characterization of the Theileria parva sporozoite proteome.	3	29	2.26	0.0044	9606.ENSP00000216780,9606.ENSP00000342056,9606.ENSP00000377532	PCK2,CS,PC
PMID:29958416	(2018) Caffeic Acid Targets AMPK Signaling and Regulates Tricarboxylic Acid Cycle Anaplerosis while Metformin Downregulates HIF-1alpha-Induced Glycolytic Enzymes in Human Cervical Squamous Cell Carcinoma Lines.	3	29	2.26	0.0044	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000358719	ACLY,PKM,ME1
PMID:28351387	(2017) Dietary restriction protects from age-associated DNA methylation and induces epigenetic reprogramming of lipid metabolism.	3	29	2.26	0.0044	9606.ENSP00000253792,9606.ENSP00000339933,9606.ENSP00000358719	ACLY,PKLR,ME1
PMID:22561686	(2012) Hepatic Hdac3 promotes gluconeogenesis by repressing lipid synthesis and sequestration.	3	29	2.26	0.0044	9606.ENSP00000319814,9606.ENSP00000342056,9606.ENSP00000358719	PCK1,CS,ME1
PMID:33803109	(2021) Mitochondrial Mistranslation in Brain Provokes a Metabolic Response Which Mitigates the Age-Associated Decline in Mitochondrial Gene Expression.	3	30	2.25	0.0047	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000327070	ACLY,PKM,MDH2
PMID:34402428	(2021) KLF10 integrates circadian timing and sugar signaling to coordinate hepatic metabolism.	3	30	2.25	0.0047	9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000339933	ACLY,PCK1,PKLR
PMID:34609082	(2021) Identification of a glycolysis-related gene signature for survival prediction of ovarian cancer patients.	3	30	2.25	0.0047	9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000377532	PKM,PKLR,PC
PMID:30450940	(2019) Contribution of Oxidative Stress and Impaired Biogenesis of Pancreatic beta-Cells to Type 2 Diabetes.	4	132	1.73	0.0047	9606.ENSP00000253792,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000377532	ACLY,CS,ME1,PC
PMID:31141937	(2019) Effects of Long-Term Citrate Treatment in the PC3 Prostate Cancer Cell Line.	3	30	2.25	0.0047	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000342056	ACLY,PKM,CS
PMID:31921837	(2019) Adult Muscle Stem Cells: Exploring the Links Between Systemic and Cellular Metabolism.	3	30	2.25	0.0047	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000342056	ACLY,PKM,CS
PMID:29534082	(2018) Differential transcript abundance in adipose tissue of mature beef cows during feed restriction and realimentation.	3	30	2.25	0.0047	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814	PCK2,ACLY,PCK1
PMID:29738450	(2018) Chronic Effects of Fusarium Mycotoxins in Rations with or without Increased Concentrate Proportion on the Insulin Sensitivity in Lactating Dairy Cows.	3	30	2.25	0.0047	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000377532	PCK2,PCK1,PC
PMID:30379940	(2018) Delayed first active-phase meal, a breakfast-skipping model, led to increased body weight and shifted the circadian oscillation of the hepatic clock and lipid metabolism-related genes in rats fed a high-fat diet.	3	30	2.25	0.0047	9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000358719	ACLY,PCK1,ME1
PMID:25943208	(2015) The goose genome sequence leads to insights into the evolution of waterfowl and susceptibility to fatty liver.	3	30	2.25	0.0047	9606.ENSP00000253792,9606.ENSP00000342056,9606.ENSP00000438144	ACLY,CS,MDH1
PMID:21409376	(2011) Classification of diet-modulated gene signatures at the colon cancer initiation and progression stages.	3	30	2.25	0.0047	9606.ENSP00000320171,9606.ENSP00000358719,9606.ENSP00000377532	PKM,ME1,PC
