#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:27473374	(2016) Proteinase-activated receptor 2 (PAR2) in hepatic stellate cells - evidence for a role in hepatocellular carcinoma growth in vivo.	7	88	1.91	9.80e-06	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000355361,9606.ENSP00000360997,9606.ENSP00000451040	MMP2,GAPDH,ANGPT2,ANG,CD47,ADAMTS13,PGF
PMID:31751439	(2020) Euterpe Oleracea Mart. (Acai) Reduces Oxidative Stress and Improves Energetic Metabolism in Myocardial Ischemia-Reperfusion Injury in Rats.	2	6	2.54	0.0191	9606.ENSP00000212015,9606.ENSP00000229239	SIRT1,GAPDH
PMID:31797700	(2020) Modeling inter-sex and inter-individual variability in response to chronopharmacological administration of synthetic glucocorticoids.	2	4	2.71	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:31801917	(2020) Presence of aberrant adrenocorticotropic hormone precursors in two cases of McCune-Albright syndrome.	2	5	2.61	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:31809425	(2020) Interpersonal Trauma as a Marker of Risk for Urinary Tract Dysfunction in Midlife and Older Women.	2	2	3.01	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:31828325	(2020) Functional diversity of small nucleolar RNAs.	3	67	1.66	0.0191	9606.ENSP00000229239,9606.ENSP00000336762,9606.ENSP00000384092	GAPDH,ANG,POMC
PMID:31839646	(2020) Expression of genes encoding mineralocorticoid biosynthetic enzymes and the mineralocorticoid receptor, and levels of mineralocorticoids in the bovine follicle and corpus luteum.	2	8	2.41	0.0191	9606.ENSP00000229239,9606.ENSP00000384092	GAPDH,POMC
PMID:31846432	(2020) Approach to patients with pseudo-Cushings states.	2	6	2.54	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:31853281	(2020) Resveratrol alleviates obesity-associated podocyte injury in ovariectomized obese rats.	2	6	2.54	0.0191	9606.ENSP00000229239,9606.ENSP00000331327	GAPDH,WT1
PMID:31860769	(2020) Patients with aortic stenosis have von Willebrand factor abnormalities and increased proliferation of endothelial colony forming cells.	2	3	2.84	0.0191	9606.ENSP00000314897,9606.ENSP00000360997	ANGPT2,ADAMTS13
PMID:31875276	(2020) Pasireotide treatment significantly reduces tumor volume in patients with Cushings disease: results from a Phase 3 study.	2	4	2.71	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:31879683	(2020) Factors Affecting Stress Levels in Hospitalized Patients after Implementation of Fast-Track Protocol in Hepatopancreatobiliary Surgery.	2	2	3.01	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:31893312	(2020) The role of hypoxia-inducible factors in neovascular age-related macular degeneration: a gene therapy perspective.	3	66	1.67	0.0191	9606.ENSP00000219070,9606.ENSP00000314897,9606.ENSP00000451040	MMP2,ANGPT2,PGF
PMID:31897182	(2020) Overexpression of miR-106a enhances oxaliplatin sensitivity of colorectal cancer through regulation of FOXQ1.	2	5	2.61	0.0191	9606.ENSP00000219070,9606.ENSP00000229239	MMP2,GAPDH
PMID:31898446	(2020) Bronchial Carcinoid Tumour as a Rare Cause of Cushings Syndrome in Children: A Case Report and Review of Literature	2	8	2.41	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:31899485	(2020) Proteostasis regulators modulate proteasomal activity and gene expression to attenuate multiple phenotypes in Fabry disease.	2	7	2.47	0.0191	9606.ENSP00000229239,9606.ENSP00000331327	GAPDH,WT1
PMID:31900334	(2020) Therapeutic Targeting of Vasculature in the Premetastatic and Metastatic Niches Reduces Lung Metastasis.	3	36	1.93	0.0191	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000314897	MMP2,GAPDH,ANGPT2
PMID:31911349	(2020) Perceived stress, psychological resilience, hair cortisol concentration, and metabolic syndrome severity: A moderated mediation model.	2	2	3.01	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:31914385	(2020) Hypothalamic Contribution to Pituitary Functions Is Recapitulated In Vitro Using 3D-Cultured Human iPS Cells.	2	2	3.01	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:31926565	(2020) Attenuation of sleep deprivation dependent deterioration in male fertility parameters by vitamin C.	2	8	2.41	0.0191	9606.ENSP00000229239,9606.ENSP00000384092	GAPDH,POMC
PMID:31927017	(2020) Differential sensitivity of alcohol drinking and partner preference to a CRFR1 antagonist in prairie voles and mice.	2	5	2.61	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:31931803	(2020) Clinical characterization of patients with primary aldosteronism plus subclinical Cushings syndrome.	2	6	2.54	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:31931863	(2020) DNA hypermethylation of sirtuin 1 (SIRT1) caused by betel quid chewing-a possible predictive biomarker for malignant transformation.	2	5	2.61	0.0191	9606.ENSP00000212015,9606.ENSP00000229239	SIRT1,GAPDH
PMID:31935731	(2020) Acupuncture Targeting SIRT1 in the Hypothalamic Arcuate Nucleus Can Improve Obesity in High-Fat-Diet-Induced Rats with Insulin Resistance via an Anorectic Effect.	2	5	2.61	0.0191	9606.ENSP00000212015,9606.ENSP00000384092	SIRT1,POMC
PMID:31942000	(2020) Chemosensitization of prostate cancer stem cells in mice by angiogenin and plexin-B2 inhibitors.	3	49	1.8	0.0191	9606.ENSP00000229239,9606.ENSP00000336762,9606.ENSP00000377280	GAPDH,ANG,FBXO8
PMID:31944408	(2020) Establishment of cohesion 1 homolog 2 facilitates cell aggressive behaviors and induces poor prognosis in renal cell carcinoma.	2	8	2.41	0.0191	9606.ENSP00000219070,9606.ENSP00000229239	MMP2,GAPDH
PMID:31945816	(2020) The Efficacy and Safety of GCWB104 (Flos Lonicera Extract) in Functional Dyspepsia: A Single-Center, Randomized, Double-Blind, Placebo-Controlled Study.	2	7	2.47	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:31949236	(2020) GATA46 regulate DHH transcription in rat adrenocortical autografts.	3	36	1.93	0.0191	9606.ENSP00000314897,9606.ENSP00000331327,9606.ENSP00000384092	ANGPT2,WT1,POMC
PMID:31952032	(2020) External jugular venous sampling for Cushings disease in a patient with hypoplastic inferior petrosal sinuses.	2	2	3.01	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:31960811	(2020) Risk factors for corticosteroid insufficiency during the sub-acute phase of acute traumatic brain injury.	2	3	2.84	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:31968538	(2020) Night Shift Work-A Risk Factor for Breast Cancer.	2	4	2.71	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:31970891	(2020) Pharmacological evaluation of a novel corticotropin-releasing factor 1 receptor antagonist T-3047928 in stress-induced animal models in a comparison with alosetron.	2	3	2.84	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:31990732	(2020) Differential Regulation of the Glucocorticoid Receptor in a Rat Model of Inflammatory Pain.	2	4	2.71	0.0191	9606.ENSP00000229239,9606.ENSP00000384092	GAPDH,POMC
PMID:31995634	(2020) Retraction: MMP-2 siRNA Inhibits Radiation-Enhanced Invasiveness in Glioma Cells.	2	2	3.01	0.0191	9606.ENSP00000219070,9606.ENSP00000229239	MMP2,GAPDH
PMID:31997403	(2020) Local secretion of stress hormones increases in alopecia areata lesions after treatment with UVA-1 phototherapy.	2	3	2.84	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:31998497	(2020) Ectopic Cushings syndrome in a patient with inferior petrosal sinus sampling indicating pituitary-dependent ACTH secretion.	2	2	3.01	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:31998553	(2020) Inhibiting SLC26A4 reverses cardiac hypertrophy in H9C2 cells and in rats.	2	6	2.54	0.0191	9606.ENSP00000229239,9606.ENSP00000483599	GAPDH,SPON2
PMID:31999703	(2020) Changes in gene expression in human skeletal stem cells transduced with constitutively active Gsalpha correlates with hallmark histopathological changes seen in fibrous dysplastic bone.	3	55	1.75	0.0191	9606.ENSP00000219070,9606.ENSP00000314897,9606.ENSP00000451040	MMP2,ANGPT2,PGF
PMID:31999718	(2020) Risk factors for mild depression in older women with overactive bladder syndrome-A cross sectional study.	2	2	3.01	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32010268	(2020) Expression of miR-34a in cataract rats and its related mechanism.	2	6	2.54	0.0191	9606.ENSP00000212015,9606.ENSP00000229239	SIRT1,GAPDH
PMID:32010490	(2020) Roles and Functions of Exosomal Non-coding RNAs in Vascular Aging.	3	61	1.7	0.0191	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000314897	SIRT1,MMP2,ANGPT2
PMID:32013250	(2020) (+)-Usnic Acid Induces ROS-dependent Apoptosis via Inhibition of Mitochondria Respiratory Chain Complexes and Nrf2 Expression in Lung Squamous Cell Carcinoma.	2	8	2.41	0.0191	9606.ENSP00000229239,9606.ENSP00000319788	GAPDH,NQO1
PMID:32014021	(2020) Ectopic Cushings syndrome associated with a pheochromocytoma in a dog: a case report.	2	5	2.61	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32014812	(2020) Biomarker analyses of second-line ramucirumab in patients with advanced gastric cancer from RAINBOW, a global, randomized, double-blind, phase 3 study.	2	7	2.47	0.0191	9606.ENSP00000314897,9606.ENSP00000451040	ANGPT2,PGF
PMID:32016560	(2020) Size matters-in vitro behaviour of human fibroblasts on textured silicone surfaces with different pore sizes.	2	6	2.54	0.0191	9606.ENSP00000219070,9606.ENSP00000229239	MMP2,GAPDH
PMID:32020381	(2020) Pharmacokinetics and pharmacodynamics of three oral formulations of curcumin in rats.	2	6	2.54	0.0191	9606.ENSP00000229239,9606.ENSP00000319788	GAPDH,NQO1
PMID:32024276	(2020) Protective Effect of the Aqueous Extract of Deschampsia antarctica (EDAFENCE((R))) on Skin Cells against Blue Light Emitted from Digital Devices.	2	6	2.54	0.0191	9606.ENSP00000212015,9606.ENSP00000229239	SIRT1,GAPDH
PMID:32024850	(2020) Effects of Rikkunshito treatment on renal fibrosisinflammation and body weight reduction in a unilateral ureteral obstruction model in mice.	2	7	2.47	0.0191	9606.ENSP00000212015,9606.ENSP00000229239	SIRT1,GAPDH
PMID:32025217	(2020) Septin4 Prevents PDGF-BB-induced HAVSMC Phenotypic Transformation, Proliferation and Migration by Promoting SIRT1-STAT3 Deacetylation and Dephosphorylation.	2	8	2.41	0.0191	9606.ENSP00000212015,9606.ENSP00000229239	SIRT1,GAPDH
PMID:32028150	(2020) The role of central amygdala corticotropin-releasing factor in predator odor stress-induced avoidance behavior and escalated alcohol drinking in rats.	2	4	2.71	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32036967	(2020) Effects of putative stressors and adrenocorticotropic hormone on plasma concentrations of corticosterone in market-weight male turkeys.	2	3	2.84	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32040338	(2020) Stress Allostasis in Substance Use Disorders: Promise, Progress, and Emerging Priorities in Clinical Research.	2	6	2.54	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32040961	(2020) Acute Statin Administration Reduces Levels of Steroid Hormone Precursors.	2	4	2.71	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32042305	(2020) Wrist-ankle acupuncture attenuates cancer-induced bone pain by regulating descending pain-modulating system in a rat model.	2	4	2.71	0.0191	9606.ENSP00000229239,9606.ENSP00000384092	GAPDH,POMC
PMID:32052523	(2020) Endogenous urinary glucocorticoid metabolites and mortality in prednisolone-treated renal transplant recipients.	2	6	2.54	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32054088	(2020) Dynamics of Early Signalling Events during Fracture Healing and Potential Serum Biomarkers of Fracture Non-Union in Humans.	3	62	1.7	0.0191	9606.ENSP00000219070,9606.ENSP00000314897,9606.ENSP00000451040	MMP2,ANGPT2,PGF
PMID:32056965	(2020) Bioelectronic sensor mimicking the human neuroendocrine system for the detection of hypothalamic-pituitary-adrenal axis hormones in human blood.	2	4	2.71	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32059072	(2020) The multicomponent medication Spascupreel attenuates stress-induced gut dysfunction in rats.	2	6	2.54	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32064411	(2020) Hypercoagulability in Cushing Syndrome, Prevalence of Thrombotic Events: A Large, Single-Center, Retrospective Study.	2	6	2.54	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32070922	(2020) beta-Lapachone attenuates cognitive impairment and neuroinflammation in beta-amyloid induced mouse model of Alzheimers disease.	2	5	2.61	0.0191	9606.ENSP00000212015,9606.ENSP00000319788	SIRT1,NQO1
PMID:32073234	(2020) Novel mutations in ADAMTS13 CUB domains cause abnormal pre-mRNA splicing and defective secretion of ADAMTS13.	2	7	2.47	0.0191	9606.ENSP00000229239,9606.ENSP00000360997	GAPDH,ADAMTS13
PMID:32073757	(2020) Copeptin in anorexia nervosa.	2	6	2.54	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32082127	(2020) Mechanisms of Shared Vulnerability to Post-traumatic Stress Disorder and Substance Use Disorders.	2	8	2.41	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32082313	(2020) Long Non-Coding RNAs Link Oxidized Low-Density Lipoprotein With the Inflammatory Response of Macrophages in Atherogenesis.	3	54	1.76	0.0191	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000355361	SIRT1,MMP2,CD47
PMID:32090085	(2020) Comparison of Protective Effects of Electroacupuncture at ST 36 and LU 5 on Pulmonary and Hypothalamic Pituitary Adrenal Axis Changes in Perinatal Nicotine-Exposed Rats.	2	7	2.47	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32092280	(2020) Stress and Psychiatric Disorders: The Role of Mitochondria.	2	3	2.84	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32092671	(2020) Choosing The Right Animal Model for Renal Cancer Research.	3	62	1.7	0.0191	9606.ENSP00000298552,9606.ENSP00000331327,9606.ENSP00000355361	TSC1,WT1,CD47
PMID:32093522	(2020) Social isolation alters hypothalamic pituitary adrenal axis activity after chronic variable stress in male C57BL6 mice.	2	5	2.61	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32104216	(2020) Expression of melanocortin 1 receptor before and after narrowband UVB phototherapy treatment in patients with stable vitiligo: A prospective study.	2	7	2.47	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32104297	(2020) Plantamajoside represses the growth and metastasis of malignant melanoma.	2	7	2.47	0.0191	9606.ENSP00000219070,9606.ENSP00000229239	MMP2,GAPDH
PMID:32111081	(2020) Mutant p53-Associated Molecular Mechanisms of ROS Regulation in Cancer Cells.	3	51	1.78	0.0191	9606.ENSP00000212015,9606.ENSP00000229239,9606.ENSP00000319788	SIRT1,GAPDH,NQO1
PMID:32117068	(2020) Acute Mono-Arthritis Activates the Neurohypophysial System and Hypothalamo-Pituitary Adrenal Axis in Rats.	2	7	2.47	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32117942	(2020) Trophoblast-Targeted Nanomedicine Modulates Placental sFLT1 for Preeclampsia Treatment.	2	5	2.61	0.0191	9606.ENSP00000229239,9606.ENSP00000451040	GAPDH,PGF
PMID:32120279	(2020) Adrenocorticotropic hormone-producing pheochromocytoma: A case report.	2	5	2.61	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32128917	(2020) BMP8A promotes survival and drug resistance via Nrf2TRIM24 signaling pathway in clear cell renal cell carcinoma.	3	39	1.9	0.0191	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000319788	MMP2,GAPDH,NQO1
PMID:32133707	(2020) Endogenous oxytocin inhibits hypothalamic corticotrophin-releasing hormone neurones following acute hypernatraemia.	2	6	2.54	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32134466	(2020) Long non-coding RNA FENDRR inhibits migration and invasion of cutaneous malignant melanoma cells.	2	6	2.54	0.0191	9606.ENSP00000219070,9606.ENSP00000229239	MMP2,GAPDH
PMID:32140387	(2020) Disturbed Yin-Yang balance: stress increases the susceptibility to primary and recurrent infections of herpes simplex virus type 1.	3	41	1.88	0.0191	9606.ENSP00000212015,9606.ENSP00000276571,9606.ENSP00000384092	SIRT1,CRH,POMC
PMID:32140912	(2020) Hypothalamic-pituitary-adrenal axis suppression by inhaled or nasal corticosteroids in HIV-infected patients.	2	5	2.61	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32144905	(2020) [Effect of electroacupuncture on silent information regulator 1, fork head transcription factor O1 and proopiomelanocortin in the hypothalamus of rats with obesity induced by high-fat diet].	2	3	2.84	0.0191	9606.ENSP00000212015,9606.ENSP00000384092	SIRT1,POMC
PMID:32147571	(2020) A randomized placebo-controlled trial of bupropion for Cancer-related fatigue: Study design and procedures.	2	8	2.41	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32149101	(2020) MicroRNA-200a Promotes Phagocytosis of Macrophages and Suppresses Cell Proliferation, Migration, and Invasion in Nasopharyngeal Carcinoma by Targeting CD47.	2	6	2.54	0.0191	9606.ENSP00000229239,9606.ENSP00000355361	GAPDH,CD47
PMID:32154650	(2020) Sex differences in hypothalamic-pituitary-adrenal axis regulation after chronic unpredictable stress.	2	6	2.54	0.0191	9606.ENSP00000229239,9606.ENSP00000276571	GAPDH,CRH
PMID:32156515	(2020) Prolonged treatment with the synthetic glucocorticoid methylprednisolone affects adrenal steroidogenic function and response to inflammatory stress in the rat.	3	44	1.85	0.0191	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:32157802	(2020) The role of ultrasound in enhancing mesenchymal stromal cell-based therapies.	3	62	1.7	0.0191	9606.ENSP00000212015,9606.ENSP00000304767,9606.ENSP00000451040	SIRT1,P2RY1,PGF
PMID:32161465	(2020) A Single Episode of Hypoglycemia as a Possible Early Warning Sign of Adrenal Insufficiency.	2	6	2.54	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32164326	(2020) Recovery of Adrenal Insufficiency Is Frequent After Adjuvant Mitotane Therapy in Patients with Adrenocortical Carcinoma.	2	4	2.71	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32167616	(2020) Block of proliferation 1 promotes cell migration and invasion in human colorectal cancer cells via the JNK pathway.	2	6	2.54	0.0191	9606.ENSP00000219070,9606.ENSP00000229239	MMP2,GAPDH
PMID:32168433	(2020) PKPD modeling of 5-hydroxytryptophan (5-HTP) challenge test with cortisol measurement in serum and saliva.	2	6	2.54	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32171525	(2020) Angiogenin regulates PKD activation and COX-2 expression induced by TNF-alpha and bradykinin in the colonic myofibroblast.	2	7	2.47	0.0191	9606.ENSP00000229239,9606.ENSP00000336762	GAPDH,ANG
PMID:32178481	(2020) Antileukemic Cell Proliferation of Active Compounds from Kaffir Lime (Citrus hystrix) Leaves.	2	8	2.41	0.0191	9606.ENSP00000229239,9606.ENSP00000331327	GAPDH,WT1
PMID:32181024	(2020) Adrenal Adenoma Anarchy: A Case of an ACTH-Secreting Pheochromocytoma.	2	5	2.61	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32181392	(2020) Angiotensin II-upregulated MAP kinase phosphatase-3 modulates FOXO1 and p21 in adrenocortical H295R cells.	2	8	2.41	0.0191	9606.ENSP00000229239,9606.ENSP00000384092	GAPDH,POMC
PMID:32183256	(2020) Early Life Stress and Pediatric Posttraumatic Stress Disorder.	2	8	2.41	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32183490	(2020) 3-Iodothyronamine and Derivatives: New Allies Against Metabolic Syndrome?	3	64	1.68	0.0191	9606.ENSP00000212015,9606.ENSP00000384092,9606.ENSP00000401720	SIRT1,POMC,GK
PMID:32184893	(2020) RUNX3 Inhibits the Invasion and Metastasis of Human Colon Cancer HT-29 Cells by Upregulating MMP-29.	2	8	2.41	0.0191	9606.ENSP00000219070,9606.ENSP00000229239	MMP2,GAPDH
PMID:32184907	(2020) Asthma in Pregnancy: Pathophysiology, Diagnosis, Whole-Course Management, and Medication Safety.	2	6	2.54	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32186748	(2020) Resveratrol decreases cell apoptosis through inhibiting DNA damage in bronchial epithelial cells.	2	7	2.47	0.0191	9606.ENSP00000212015,9606.ENSP00000229239	SIRT1,GAPDH
PMID:32192508	(2020) MiR-29c-3p, a target miRNA of LINC01296, accelerates tumor malignancy: therapeutic potential of a LINC01296miR-29c-3p axis in ovarian cancer.	2	6	2.54	0.0191	9606.ENSP00000219070,9606.ENSP00000229239	MMP2,GAPDH
PMID:32193876	(2020) Exendin-4 Ameliorates Cardiac Remodeling in Experimentally Induced Myocardial Infarction in Rats by Inhibiting PARP1NF-kappaB Axis in A SIRT1-Dependent Mechanism.	2	7	2.47	0.0191	9606.ENSP00000212015,9606.ENSP00000219070	SIRT1,MMP2
PMID:32194375	(2020) Targeting Oxidative Stress and Inflammation to Prevent Ischemia-Reperfusion Injury.	3	47	1.82	0.0191	9606.ENSP00000212015,9606.ENSP00000319788,9606.ENSP00000384092	SIRT1,NQO1,POMC
PMID:32203212	(2020) A novel model of liver cancer stem cells developed from induced pluripotent stem cells.	3	40	1.89	0.0191	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000355361	MMP2,GAPDH,CD47
PMID:32209328	(2020) Modulation of the cardiac sodium channel NaV1.5 peak and late currents by NAD(+) precursors.	2	4	2.71	0.0191	9606.ENSP00000212015,9606.ENSP00000229239	SIRT1,GAPDH
PMID:32210168	(2020) Distinguishing Low and High Water Consumers-A Paradigm of Disease Risk.	2	8	2.41	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32213216	(2020) Association between GLP-1 receptor gene polymorphisms with reward learning, anhedonia and depression diagnosis.	2	8	2.41	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32213660	(2020) The role of 68Ga-DOTA derivatives PET-CT in patients with ectopic ACTH syndrome.	2	5	2.61	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32219103	(2020) Association between temperament and polymorphisms of CRH and leptin in Japanese Black Cattle.	2	3	2.84	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32228100	(2020) Neuronal mitochondria-targeted therapy for Alzheimers disease by systemic delivery of resveratrol using dual-modified novel biomimetic nanosystems.	2	7	2.47	0.0191	9606.ENSP00000229239,9606.ENSP00000355361	GAPDH,CD47
PMID:32228197	(2020) CO ameliorates cellular senescence and aging by modulating the miR-34aSirt1 pathway.	2	6	2.54	0.0191	9606.ENSP00000212015,9606.ENSP00000319788	SIRT1,NQO1
PMID:32231512	(2020) Corticosterone Treatment and Incubation Time After Contextual Fear Conditioning Synergistically Induce Fear Memory Generalization in Neuropeptide S Receptor-Deficient Mice.	2	4	2.71	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32232117	(2020) Does Helium Pneumoperitoneum Reduce the Hyperinflammatory Response in Septic Animals during Laparoscopy?	2	8	2.41	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32232324	(2020) Central Adrenal Insufficiency Is Rare in Adults With Prader-Willi Syndrome.	2	5	2.61	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32237322	(2020) [Establishment of rat heart-kidney insomnia model consistent with traditional Chinese medicine syndrome and its serum metabolomics].	2	2	3.01	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32237439	(2020) [Effect of Lepidium meyenii (Maca) on neurotransmitter level and neuro-endocrine-immune network of deficiency-cold and deficiency-heat syndrome rats].	2	2	3.01	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32241491	(2020) Chitosan oligosaccharide supplementation alleviates stress stimulated by in-feed dexamethasone in broiler chickens.	2	7	2.47	0.0191	9606.ENSP00000229239,9606.ENSP00000384092	GAPDH,POMC
PMID:32244683	(2020) Salivary Cortisol Interactions in Search and Rescue Dogs and their Handlers.	2	3	2.84	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32250975	(2020) Functional imaging in ectopic Cushing syndrome.	2	7	2.47	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32253734	(2020) Galectin-1-Related Modulation of Trophoblast Endothelial Interactions by Integrins alpha1 and beta1.	2	5	2.61	0.0191	9606.ENSP00000219070,9606.ENSP00000451040	MMP2,PGF
PMID:32256796	(2020) miR-613 suppresses migration and invasion in esophageal squamous cell carcinoma via the targeting of G6PD.	2	6	2.54	0.0191	9606.ENSP00000219070,9606.ENSP00000229239	MMP2,GAPDH
PMID:32257667	(2020) Effects of Adrenocorticotropic Hormone Treatment on Heart Muscle in Patients with Infantile Spasm.	2	2	3.01	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32259676	(2020) Limonin ameliorates acetaminophen-induced hepatotoxicity by activating Nrf2 antioxidative pathway and inhibiting NF-kappaB inflammatory response via upregulating Sirt1.	2	8	2.41	0.0191	9606.ENSP00000212015,9606.ENSP00000319788	SIRT1,NQO1
PMID:32265579	(2020) An Activatable NIR Fluorescent Rosol for Selectively Imaging Nitroreductase Activity.	2	5	2.61	0.0191	9606.ENSP00000229239,9606.ENSP00000319788	GAPDH,NQO1
PMID:32268590	(2020) Intervention in Neuropsychiatric Disorders by Suppressing Inflammatory and Oxidative Stress Signal and Exploration of In Silico Studies for Potential Lead Compounds from Holigarna caustica (Dennst.) Oken leaves.	2	7	2.47	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32270771	(2020) Inhibition of ALAS1 activity exerts anti-tumour effects on colorectal cancer in vitro.	2	8	2.41	0.0191	9606.ENSP00000219070,9606.ENSP00000229239	MMP2,GAPDH
PMID:32276734	(2020) Stress-induced Interaction of Skin Immune Cells, Hormones, and Neurotransmitters.	2	6	2.54	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32278654	(2020) Sirt6 in pro-opiomelanocortin neurons controls energy metabolism by modulating leptin signaling.	3	35	1.95	0.0191	9606.ENSP00000212015,9606.ENSP00000276571,9606.ENSP00000384092	SIRT1,CRH,POMC
PMID:32280227	(2020) Gut Microbiota Regulates Depression-Like Behavior in Rats Through the Neuroendocrine-Immune-Mitochondrial Pathway.	2	8	2.41	0.0191	9606.ENSP00000276571,9606.ENSP00000384092	CRH,POMC
PMID:32294409	(2020) Stromal Cells Covering Omental Fat-Associated Lymphoid Clusters Trigger Formation of Neutrophil Aggregates to Capture Peritoneal Contaminants.	3	66	1.67	0.0191	9606.ENSP00000229239,9606.ENSP00000331327,9606.ENSP00000483599	GAPDH,WT1,SPON2
